# character	reading	attested
葁	jiāng	jiāng
葂	miǎn	miǎn
葃	zuò	zuò|zé
葄	zuò	zuò
葅	zū	zū
葆	bǎo	bāo|bǎo
葇	róu	róu|rǒu
葈	xǐ	xǐ
葉	yè	shè|yè
葊	ān	ān
葋	qú	qú
葌	jiān	jiān
葍	fú	fú
葎	lǜ	lǜ
葏	jīng	jīng
葐	pén	fén|pén
葑	fēng	fèng|fēng
葒	hóng	hóng
葓	hóng	hóng
葔	hóu	hóu
葕	yàn	yàn
葖	tū	tū
著	zhù	chú|zhe|zhuó|zháo|zhù|zhāo
葘	zī	zī
葙	xiāng	xiāng
葚	rèn	rèn|shèn
葛	gé	gé|gě
葜	qiā	qiā
葝	qíng	jìng|qíng
葞	mǐ	mǐ
葟	huáng	huáng
葠	shēn	shān|shēn
葡	pú	bèi|pú
葢	gài	gài
董	dǒng	dǒng|zhǒng
葤	zhòu	zhòu
葥	jiàn	jiàn|qián
葦	wěi	wěi
葧	bó	bó
葨	wēi	wēi
葩	pā	pā
葪	jì	jì
葫	hú	hú
葬	zàng	zàng
葭	jiā	jiā|xiá
葮	duàn	duàn
葯	yào	yào
葰	jùn	jùn|suī|suǒ
葱	cōng	chuāng|cōng
葲	quán	quán
葳	wēi	wēi
葴	zhēn	qián|zhēn
葵	kuí	kuí
葶	tíng	dǐng|tíng
葷	hūn	hūn|xūn
葸	xǐ	xǐ
葹	shī	shī
葺	qì	qì
葻	lán	lán
葼	zōng	zōng
葽	yāo	yāo|yǎo
葾	yuān	yuān
葿	méi	méi
蒀	yūn	yūn
蒁	shù	shù
蒂	dì	dì
蒃	zhuàn	zhuàn
蒄	guān	guān
蒅	rǎn	rǎn
蒆	xuē	xuē
蒇	chǎn	chǎn
蒈	kǎi	kǎi
蒉	kuì	kuì
蒊	huā	huā
蒋	jiǎng	jiǎng
蒌	lóu	lóu
蒍	wěi	huā|kuī|wěi|é
蒎	pài	pài
蒏	you	you
蒐	sōu	huì|sōu
蒑	yīn	yīn
蒒	shī	shī
蒓	chún	chún
蒔	shí	shì|shí
蒕	yūn	yūn
蒖	zhēn	zhēn
蒗	làng	làng
蒘	rú	ná|rú
蒙	méng	méng|mēng|měng
蒚	lì	lì
蒛	quē	quē
蒜	suàn	suàn
蒝	yuán	huán|yuán
蒞	lì	lì
蒟	jǔ	jǔ
蒠	xī	xī
蒡	bàng	bàng|páng
蒢	chú	chú
蒣	xú	shú|xú
蒤	tú	tú
蒥	liú	liú
蒦	huò	huò|wò
蒧	diǎn	diǎn
蒨	qiàn	qiàn
蒩	zū	jí|jù|zū
蒪	pò	pò
蒫	cuó	cuó
蒬	yuān	yuān
蒭	chú	chú
蒮	yù	yù
蒯	kuǎi	kuài|kuǎi
蒰	pán	pán
蒱	pú	pú
蒲	pú	bó|pú
蒳	nà	nà
蒴	shuò	shuò
蒵	xí	xì|xí
蒶	fén	fén
蒷	yún	yún
蒸	zhēng	zhēng
蒹	jiān	jiān
蒺	jí	jí
蒻	ruò	ruò
蒼	cāng	cāng|cǎng
蒽	ēn	ēn
蒾	mí	mí
蒿	hāo	gǎo|hāo
蓀	sūn	sūn
蓁	zhēn	qín|zhēn
蓂	míng	mì|míng
蓃	sōu	sōu|sǒu
蓄	xù	xù
蓅	liú	liú
蓆	xí	xí
蓇	gū	gū|gǔ
蓈	láng	láng
蓉	róng	róng
蓊	wěng	wěng
蓋	gài	gai|gài|gě
蓌	cuò	cuò
蓍	shī	shī
蓎	táng	táng
蓏	luǒ	luǒ
蓐	rù	rù
蓑	suō	suī|suō
蓒	xuān	xuān
蓓	bèi	bèi
蓔	yǎo	yǎo|zhuó
蓕	guì	guì
蓖	bì	bì
蓗	zǒng	zǒng
蓘	gǔn	gǔn
蓙	zuò	zuò
蓚	tiáo	tiáo
蓛	cè	cè
蓜	pèi	pèi
蓝	lán	la|lán
蓞	dàn	dàn
蓟	jì	jì
蓠	lí	lí
蓡	shēn	shēn
蓢	lǎng	lǎng
蓣	yù	yù
蓤	líng	líng
蓥	yíng	yíng
蓦	mò	mò
蓧	diào	diào|dí|tiáo
蓨	tiáo	tiáo|xiū
蓩	mǎo	mǎo
蓪	tōng	tōng
蓫	chù	chù|zhú
蓬	péng	pèng|péng
蓭	ān	ān
蓮	lián	lián|liǎn
蓯	cōng	cōng|sǒng|zǒng
蓰	xǐ	xǐ
