# character	reading	attested
旾	chūn	chūn
旿	wǔ	wù|wǔ
昀	yún	yún
昁	bèi	bèi
昂	áng	yàng|áng
昃	zè	zè
昄	bǎn	bǎn
昅	jié	jié
昆	kūn	hún|kùn|kūn
昇	shēng	shēng
昈	hù	hù
昉	fǎng	fǎng
昊	hào	hào
昋	guì	guì|jiǒng
昌	chāng	chàng|chāng
昍	xuān	xuān
明	míng	ming|mèng|míng
昏	hūn	hùn|hún|hūn
昐	fēn	fēn
昑	qǐn	qǐn
昒	hū	hū
易	yì	yì
昔	xī	cuò|xī
昕	xīn	xuān|xīn
昖	yán	yán
昗	zè	zè
昘	fǎng	fǎng
昙	tán	tán|yù
昚	shèn	shèn
昛	jù	jù
昜	yáng	yáng
昝	zǎn	zǎn
昞	bǐng	bǐng|fǎng
星	xīng	xīng
映	yìng	yìng|yǎng
昡	xuàn	xuàn
昢	pò	pèi|pò
昣	zhěn	zhěn
昤	líng	líng
春	chūn	chūn|chǔn
昦	hào	hào
昧	mèi	mèi|mò|wěn
昨	zuó	zuó
昩	mò	mò
昪	biàn	biàn
昫	xù	xiǒng|xù
昬	hūn	hūn
昭	zhāo	zhào|zhāo
昮	zòng	zòng
是	shì	shi|shì|tí
昰	shì	shì|xià
昱	yù	yù
昲	fèi	fèi
昳	dié	diè|dié|yì
昴	mǎo	mǎo
昵	nì	nì|nǐ|zhì
昶	chǎng	chǎng
昷	wēn	wēn
昸	dōng	dōng
昹	ǎi	ǎi
昺	bǐng	bǐng
昻	áng	áng
昼	zhòu	zhòu
昽	lóng	lóng
显	xiǎn	xiǎn
昿	kuàng	kuàng
晀	tiǎo	tiǎo
晁	cháo	chào|cháo|zhāo
時	shí	shí
晃	huǎng	huang|huàng|huǎng
晄	huǎng	huǎng
晅	xuǎn	xuān|xuǎn
晆	kuí	kuí
晇	xū	kuā|xū
晈	jiǎo	jiǎo
晉	jìn	jìn
晊	zhì	zhì
晋	jìn	jìn
晌	shǎng	shǎng
晍	tóng	tóng
晎	hǒng	hǒng
晏	yàn	yàn
晐	gāi	gāi
晑	xiǎng	xiǎng
晒	shài	shài
晓	xiǎo	xiǎo
晔	yè	yè
晕	yūn	yùn|yūn
晖	huī	huī
晗	hán	hán
晘	hàn	hàn
晙	jùn	jùn
晚	wǎn	wǎn
晛	xiàn	xiàn
晜	kūn	kūn
晝	zhòu	zhòu
晞	xī	xī
晟	chéng	chéng|jīng|shèng
晠	shèng	shèng
晡	bū	bū
晢	zhé	zhé|zhì
晣	zhé	zhé
晤	wù	wù
晥	wǎn	wǎn
晦	huì	huì
晧	hào	hào
晨	chén	chen|chén
晩	wǎn	wǎn
晪	tiǎn	tiǎn
晫	zhuó	zhuó
晬	zuì	zuì
晭	zhǒu	zhǒu
普	pǔ	pǔ
景	jǐng	jǐng|yǐng
晰	xī	xī
晱	shǎn	shǎn
晲	nǐ	nǐ
晳	xī	xī
晴	qíng	qíng
晵	qǐ	dù|qǐ
晶	jīng	jīng
晷	guǐ	guǐ
晸	zhěng	zhěng
晹	yì	yì
智	zhì	zhì|zhī
晻	àn	yǎn|àn|ǎn
晼	wǎn	wǎn
晽	lín	lín
晾	liàng	liàng
晿	chāng	chāng
暀	wǎng	wàng|wǎng
暁	xiǎo	xiǎo
暂	zàn	zàn
暃	fēi	fēi
暄	xuān	xuān
暅	gèng	gèng|xuǎn
暆	yí	yí
暇	xiá	jiǎ|xià|xiá
暈	yūn	yùn|yūn
暉	huī	huī
暊	xǔ	xǔ
暋	mǐn	mín|mǐn
暌	kuí	kuí
暍	yē	yē
暎	yìng	yìng
暏	shǔ	dǔ|shǔ
暐	wěi	wěi
暑	shǔ	shǔ
暒	qíng	qíng
暓	mào	mào
暔	nán	nán
暕	jiǎn	jiǎn|lán
暖	nuǎn	nuǎn|xuān
暗	àn	àn
暘	yáng	yáng
暙	chūn	chūn
暚	yáo	yáo
暛	suǒ	suǒ
暜	pǔ	pǔ
暝	míng	míng
暞	jiǎo	jiǎo
暟	kǎi	kǎi
暠	gǎo	gǎo|hào
暡	wěng	wěng
暢	chàng	chàng
暣	qì	qì
暤	hào	hào
暥	yàn	yàn
暦	lì	lì
暧	ài	nuǎn|ài
暨	jì	jiè|jì
暩	jì	jì
暪	mèn	mèn
暫	zàn	zàn
暬	xiè	xiè
暭	hào	hào
暮	mù	mù
暯	mò	mò
暰	cōng	cōng
暱	nì	nì
暲	zhāng	zhāng
暳	huì	huì
暴	bào	bào|bó|pù
暵	hàn	hàn
暶	xuán	xuán
暷	chuán	chuán
暸	liáo	liáo
暹	xiān	xiān
暺	tǎn	tǎn
暻	jǐng	jǐng
暼	piē	piē
暽	lín	lín
暾	tūn	tūn
暿	xī	xī|xǐ
曀	yì	yì
曁	jì	jì
曂	huàng	huàng
曃	dài	dài
曄	yè	yè
曅	yè	yè
曆	lì	lì
曇	tán	tán
曈	tóng	tóng
曉	xiǎo	xiǎo
曊	fèi	fèi
曋	shěn	shěn
曌	zhào	zhào
曍	hào	hào
曎	yì	yì
曏	xiǎng	shǎng|xiàng|xiǎng
曐	xīng	xīng
曑	shēn	shēn
曒	jiǎo	jiǎo
曓	bào	bào
曔	jìng	jìng
曕	yàn	yàn
曖	ài	ài
曗	yè	yè
曘	rú	rú
曙	shǔ	shǔ
曚	méng	méng
曛	xūn	xūn
曜	yào	yào
曝	pù	bào|pù
曞	lì	lì
曟	chén	chén
曠	kuàng	kuàng
曡	dié	dié
曢	liǎo	liǎo
曣	yàn	yàn
曤	huò	huò
曥	lú	lú
曦	xī	xī
曧	róng	róng
曨	lóng	lóng
曩	nǎng	nǎng
曪	luǒ	luǒ
曫	luán	luán
曬	shài	shài
曭	tǎng	tǎng
曮	yǎn	yǎn
曯	zhú	zhú
曰	yuē	yuē
曱	yuē	yuē
曲	qū	qū|qǔ
曳	yè	yè
更	gèng	gèng|gēng
曵	yè	yè
曶	hū	hū
曷	hé	hè|hé|è
書	shū	shū
曹	cáo	cáo
曺	cáo	cáo
曻	shēng	shēng
曼	màn	màn
曽	cēng	cēng
曾	céng	céng|zēng
替	tì	tì
最	zuì	cuō|zuì
朁	cǎn	cǎn|jiàn|qián
朂	xù	xù
會	huì	huì|kuài|kuò
朄	yǐn	yǐn
朅	qiè	qiè
朆	fēn	fēn
朇	pí	pí
月	yuè	rù|yue|yuè
有	yǒu	wěi|yòu|yǒu
朊	ruǎn	ruǎn|wǎn
朋	péng	péng
朌	fén	bān|fén
服	fú	bì|bó|fu|fù|fú
朎	líng	líng
朏	fěi	fěi|kū
朐	qú	chǔn|qú|xù|xū
朑	tì	tì
朒	nǜ	nǜ
朓	tiǎo	tiào|tiǎo|yóu
朔	shuò	shuò
朕	zhèn	zhèn
朖	lǎng	lǎng
朗	lǎng	lǎng
朘	zuī	juān|zuī
朙	míng	míng
朚	huāng	huāng|máng|mèng|wáng
望	wàng	wang|wàng
朜	tūn	tūn
朝	cháo	cháo|zhāo|zhū
朞	jī	jī|qī
期	qī	jī|qī
朠	yīng	yīng
朡	zōng	zōng
朢	wàng	wàng
朣	tóng	chuáng|tóng
朤	lǎng	lǎng
朥	láo	láo
朦	méng	méng|mǎng
朧	lóng	lóng|lǒng
木	mù	mù
朩	děng	děng
未	wèi	wèi
末	mò	me|mò
本	běn	bēn|běn
札	zhá	yà|zhá
朮	shù	shù|zhú
术	shù	shù|shú|zhú
朰	mù	mù
朱	zhū	shū|zhū
朲	rén	rén
朳	bā	bā
朴	pǔ	piáo|pò|pō|pū|pǔ
朵	duǒ	duo|duǒ
朶	duǒ	duǒ
朷	dāo	dāo|mù|tiáo
朸	lì	lì
朹	guǐ	guǐ|qiú
机	jī	jī|wèi
朻	jiū	jiū
朼	bǐ	bǐ
朽	xiǔ	xiǔ
朾	chéng	chéng|chēng|tīng|zhēng
朿	cì	cì
杀	shā	shā
杁	rù	rù
杂	zá	duǒ|zá
权	quán	quán
杄	qiān	qiān
杅	yú	wū|yú
杆	gān	gàn|gān|gǎn
杇	wū	wū
杈	chā	chà|chā
杉	shān	shā|shān
杊	xún	xún
杋	fán	fán
杌	wù	wò|wù
杍	zǐ	zǐ
李	lǐ	li|lǐ
杏	xìng	xìng
材	cái	cai|cái
村	cūn	cūn
杒	rèn	rèn|ér
杓	biāo	biāo|dí|shuó|sháo|zhuó
杔	tuō	tuō|zhé
杕	dì	duò|dì
杖	zhàng	zhàng
杗	máng	máng
杘	chì	chì
杙	yì	yì
杚	gài	gài|gé
杛	gōng	gōng
杜	dù	dù|dǔ|tú
杝	lí	duò|lí|tuò|yí|zhì
杞	qǐ	qǐ
束	shù	shù
杠	gàng	gàng|gāng|gōng
条	tiáo	tiáo
杢	jié	jié
杣	mián	mián|shān
杤	wàn	wàn
来	lái	lái
杦	jiǔ	jiǔ
杧	máng	máng
杨	yáng	yáng
杩	mà	mà
杪	miǎo	miǎo
杫	sì	sì|xǐ|zhǐ
杬	yuán	yuàn|yuán
杭	háng	háng|kàng|kāng
杮	fèi	bèi|fèi
杯	bēi	bēi
杰	jié	jié
東	dōng	dōng
杲	gǎo	gǎo
杳	yǎo	yǎo
杴	xiān	qiān|xiān
杵	chǔ	chǔ
杶	chūn	chūn
杷	pá	bà|pá
杸	shū	duì|shū
杹	huà	huà
杺	xīn	xīn
杻	chǒu	chǒu|niǔ
杼	zhù	shù|zhù
杽	chǒu	chǒu
松	sōng	sōng
板	bǎn	bǎn
枀	sōng	sōng
极	jí	jí
枂	wò	wò|yuè
枃	jìn	jìn
构	gòu	gòu
枅	jī	jī
枆	máo	máo
枇	pí	bì|bǐ|pí|pī
枈	bì	bì|pī
枉	wǎng	kuáng|wang|wǎng
枊	àng	àng
枋	fāng	bǐng|fāng|fǎng
枌	fén	fén
枍	yì	yì
枎	fú	fú|fū
枏	nán	nán
析	xī	sī|xī
枑	hù	hù
枒	yā	yà|yá|yā|yē
枓	dǒu	dǒu|zhǔ
枔	xín	xín
枕	zhěn	chén|zhěn
枖	yāo	yāo|yǎo
林	lín	lín
枘	ruì	nèn|ruì
枙	ě	è|ě
枚	méi	méi
枛	zhào	zhào
果	guǒ	guàn|guǒ|luǒ
枝	zhī	qí|zhī
枞	cōng	cōng|zōng
枟	yùn	yùn
枠	huà	huà
枡	shēng	shēng
枢	shū	shū
枣	zǎo	zǎo
枤	dì	dì
枥	lì	lì
枦	lú	lú
枧	jiǎn	jiǎn
枨	chéng	chéng
枩	sōng	sōng
枪	qiāng	qiāng
枫	fēng	fēng
枬	zhān	zhān
枭	xiāo	xiāo
枮	xiān	xiān|zhēn
枯	kū	gū|kū
枰	píng	píng
枱	tái	cí|sì|tái
枲	xǐ	xǐ
枳	zhǐ	zhī|zhǐ
枴	guǎi	guǎi
枵	xiāo	xiāo
架	jià	jià
枷	jiā	jià|jiā
枸	gǒu	gōu|gǒu|jǔ|qú
枹	bāo	bāo|fú
枺	mò	mò
枻	yì	xiè|yì
枼	yè	yè
枽	yè	yè
枾	shì	shì
枿	niè	niè
柀	bǐ	bǐ
柁	tuó	duò|tuó|tuǒ
柂	yí	duò|lí|yí
柃	líng	líng
柄	bǐng	bǐng
柅	nǐ	chì|nǐ
柆	lā	lā
柇	hé	hé
柈	bàn	bàn|pàn|pán
柉	fán	fán
柊	zhōng	zhōng
柋	dài	dài
柌	cí	cí
柍	yǎng	yàng|yīng|yǎng
柎	fū	fù|fū|fǔ
柏	bǎi	bò|bó|bǎi
某	mǒu	méi|mǒu
柑	gān	gān|qián
柒	qī	qī
染	rǎn	rǎn
柔	róu	róu
柕	mào	mào
柖	sháo	shào|sháo
柗	sōng	sōng
柘	zhè	zhè
柙	xiá	jiǎ|xiá
柚	yòu	yòu|yóu|zhóu
柛	shēn	shēn
柜	guì	guì|jǔ
柝	tuò	tuò
柞	zhà	zhà|zuò|zé
柟	nán	nán|rán
柠	níng	chǔ|níng|zhù
柡	yǒng	yǒng
柢	dǐ	chí|dì|dǐ
柣	zhì	dié|zhì
柤	zhā	zhā|zū|zǔ
查	chá	chá|chái|zhā
柦	dàn	dàn
柧	gū	gū
柨	bù	bù|pū
柩	jiù	jiù
柪	āo	ào|āo
柫	fú	fú
柬	jiǎn	jiǎn
柭	bā	biē|bó|bā|fú|pèi
柮	duò	duò|wù|zuó
柯	kē	kē
柰	nài	nài
柱	zhù	zhù|zhǔ
柲	bì	bié|bì
柳	liǔ	liǔ
柴	chái	chái|cī|zhài|zì
柵	shān	shān|zhà
柶	sì	sì
柷	zhù	chù|zhù
柸	pēi	bēi|pēi
柹	shì	fèi|shì
柺	guǎi	guǎi
査	zhā	zhā
柼	yǎo	yǎo
柽	chēng	chēng|jué
柾	jiù	jiù
柿	shì	shì
栀	zhī	zhī
栁	liǔ	liǔ
栂	méi	méi
栃	lì	lì
栄	róng	róng
栅	zhà	cè|shān|zhà
栆	zǎo	zǎo
标	biāo	biāo
栈	zhàn	zhàn
栉	zhì	zhì
栊	lóng	lóng
栋	dòng	dòng
栌	lú	lú
栍	shēng	shēng
栎	lì	lì|yuè
栏	lán	lán
栐	yǒng	yǒng
树	shù	shù
栒	xún	sǔn|xún
栓	shuān	quán|shuàn|shuān
栔	qì	qì
栕	zhēn	zhēn
栖	qī	qī|xī
栗	lì	liè|lì
栘	yí	yí
栙	xiáng	xiáng
栚	zhèn	zhèn
栛	lì	lì
栜	sè	cì|sè
栝	guā	guā|kuò|tiǎn
栞	kān	kān
栟	bēn	bēn|bīng
栠	rěn	rěn
校	xiào	jiào|jiǎo|qiāo|xiào
栢	bǎi	bǎi
栣	rěn	rěn
栤	bìng	bìng
栥	zī	zī
栦	chóu	chóu
栧	yì	yì
栨	cì	cì
栩	xǔ	xǔ|yǔ
株	zhū	zhū
栫	jiàn	jiàn|zùn
栬	zuì	zuì
栭	ér	ér
栮	ěr	ěr
栯	yǒu	yù|yǒu
栰	fá	fá
栱	gǒng	gǒng
栲	kǎo	kǎo
栳	lǎo	lǎo
栴	zhān	zhān
栵	liè	liè
栶	yīn	yīn
样	yàng	yàng|yáng
核	hé	gāi|hé|hú|kài
根	gēn	gēn
栺	yì	yì|zhī|zhǐ
栻	shì	shì
格	gé	ge|gé|gē|hè|luò
栽	zāi	zài|zāi
栾	luán	luán
栿	fú	fú
桀	jié	jié
桁	héng	hàng|háng|héng
桂	guì	guì
桃	táo	tiāo|táo|zhào
桄	guāng	guàng|guāng
桅	wéi	guǐ|wéi
框	kuàng	kuàng|kuáng|kuāng
桇	rú	rú
案	àn	àn
桉	ān	àn|ān
桊	juàn	juàn|quān
桋	yí	tí|yí
桌	zhuō	zhuō
桍	kū	kū
桎	zhì	zhì
桏	qióng	qióng
桐	tóng	dòng|tóng|tōng
桑	sāng	sāng
桒	sāng	sāng
桓	huán	huán
桔	jié	jié|jú|xié
桕	jiù	jiù
桖	xuè	xuè
桗	duò	duò
桘	zhuì	zhuì
桙	yú	móu|yú
桚	zǎn	zǎn
桜	yīng	yīng
桝	jié	jié
桞	liǔ	liǔ
桟	zhàn	zhàn
桠	yā	yā
桡	ráo	ráo
桢	zhēn	zhēn
档	dàng	dàng
桤	qī	qī
桥	qiáo	qiáo
桦	huà	huà
桧	guì	guì|huì
桨	jiǎng	jiǎng
桩	zhuāng	zhuāng
桪	xún	xún
桫	suō	suō
桬	shā	shā
桭	zhēn	chén|zhèn|zhēn
桮	bēi	bēi
桯	tīng	tīng|yíng
桰	kuò	kuò
桱	jìng	jìng
桲	po	bó|po
桳	bèn	bèn
桴	fú	fú
桵	ruí	ruí
桶	tǒng	tǒng
桷	jué	jué
桸	xī	xī
桹	láng	láng
桺	liǔ	liǔ
桻	fēng	fèng|fēng
桼	qī	qī
桽	wěn	wěn
桾	jūn	jūn
桿	gǎn	gǎn|hàn
梀	sù	sù|yìn
梁	liáng	liang|liáng
梂	qiú	qiú
梃	tǐng	tìng|tǐng
梄	yǒu	yǒu
梅	méi	méi
梆	bāng	bāng
梇	lòng	lòng
梈	pēng	pēng
梉	zhuāng	zhuāng
梊	dì	dì
梋	xuān	juān|xié|xuān
梌	tú	chá|tú|tū
梍	zào	zào
梎	āo	yòu|āo
梏	gù	gù|jué
梐	bì	bì
梑	dí	dí
梒	hán	hán
梓	zǐ	zǐ
梔	zhī	zhī
梕	rèn	rèn
梖	bèi	bèi
梗	gěng	gěng
梘	jiǎn	jiàn|jiǎn|xiàn
梙	huàn	huàn
梚	wǎn	wǎn
梛	nuó	nuó
梜	jiā	jiā
條	tiáo	tiáo|tiāo
梞	jì	jì
梟	xiāo	xiāo
梠	lǚ	lǚ
梡	hún	hún|kuǎn
梢	shāo	shào|shāo|sào|xiāo
梣	chén	chén|cén|qín
梤	fén	fén
梥	sōng	sōng
梦	mèng	mèng
梧	wú	wù|wú|yǔ
梨	lí	lí
梩	lí	lí|qǐ|sì
梪	dòu	dòu
梫	qǐn	qīn|qǐn
梬	yǐng	yǐng
梭	suō	suō|xùn
梮	jū	jū
梯	tī	tí|tī
械	xiè	xiè
梱	kǔn	hún|kǔn
梲	zhuó	zhuó
梳	shū	shū
梴	chān	chān
梵	fàn	fàn
梶	wěi	wěi
梷	jìng	jìng
梸	lí	lí
梹	bīn	bīn|bīng
梺	xià	xià
梻	fó	fó
梼	táo	táo
梽	zhì	zhì
梾	lái	lái
梿	lián	lián
检	jiǎn	jiǎn
棁	zhuō	ruì|tuō|zhuō
棂	líng	líng
棃	lí	lí
棄	qì	qì
棅	bǐng	bǐng
棆	lún	lún
棇	cōng	cōng|sōng
棈	qiàn	qiàn
棉	mián	mián
棊	qí	qí
棋	qí	jī|qí
棌	cài	cài
棍	gùn	gùn|gǔn|hùn|āo
棎	chán	chán
棏	dé	dé|zhé
棐	fěi	féi|fěi
棑	pái	bèi|pái|pèi
棒	bàng	bàng
棓	bèi	bàng|bèi|bēi|péi|pǒu
棔	hūn	hūn
棕	zōng	zōng
棖	chéng	cháng|chéng
棗	zǎo	zǎo
棘	jí	jí
棙	lì	liè|lì
棚	péng	peng|péng
棛	yù	yù
棜	yù	yù
棝	gù	gù
棞	jùn	jùn
棟	dòng	dòng
棠	táng	táng
棡	gāng	gāng
棢	wǎng	wǎng
棣	dì	dài|dì|tì
棤	cuò	cuò
棥	fán	fán
棦	chēng	chēng
棧	zhàn	chén|zhàn|zhǎn
棨	qǐ	qǐ
棩	yuān	yuān
棪	yǎn	yàn|yǎn
棫	yù	yù
棬	quān	juàn|quán|quān
棭	yì	yì
森	sēn	sēn
棯	rěn	rěn|shěn
棰	chuí	chuí|duǒ
棱	léng	chēng|lèng|léng|líng|lēng
棲	qī	qī|xī
棳	zhuō	zhuō
棴	fú	fú|sù
棵	kē	kuǎn|kē|kě
棶	lái	lái
棷	zōu	sǒu|zōu
棸	zōu	zōu
棹	zhào	zhuō|zhào
棺	guān	guàn|guān
棻	fēn	fēn
棼	fén	fèn|fén|fēn
棽	shēn	chēn|shēn
棾	qíng	qíng
棿	ní	niè|ní
椀	wǎn	wǎn
椁	guǒ	guǒ
椂	lù	lù
椃	háo	háo
椄	jiē	jié|jiē|qiè
椅	yǐ	yī|yǐ
椆	chóu	chóu|diāo|zhòu
椇	jǔ	jǔ
椈	jú	jú
椉	chéng	chéng|shèng
椊	zuó	cuì|zuó
椋	liáng	liáng
椌	qiāng	kōng|qiāng
植	zhí	zhí
椎	zhuī	chuí|zhuī
椏	yā	yā|ě
椐	jū	jū
椑	bēi	bì|bēi|pái|pí
椒	jiāo	jiāo
椓	zhuó	zhuó
椔	zī	zī
椕	bīn	bīn
椖	péng	péng
椗	dìng	dìng
椘	chǔ	chǔ
椙	chāng	chāng
椚	mēn	mēn
椛	huā	huā
検	jiǎn	jiǎn
椝	guī	guī
椞	xì	xì
椟	dú	dú
椠	qiàn	qiàn
椡	dào	dào
椢	guì	guì
椣	diǎn	diǎn
椤	luó	luó
椥	zhī	zhī
椦	quan	quan
椧	mìng	mìng
椨	fǔ	fǔ
椩	gēng	gēng
椪	pèng	pèng
椫	shàn	shàn
椬	yí	yí
椭	tuǒ	tuǒ
椮	sēn	sēn
椯	duǒ	chuán|duǒ
椰	yē	yē
椱	fù	fù
椲	wěi	huī|wěi
椳	wēi	wēi
椴	duàn	duàn
椵	jiǎ	jiā|jiǎ
椶	zōng	zōng
椷	jiān	hán|jiān
椸	yí	yí
椹	shèn	shèn|zhēn
椺	xí	xí
椻	yàn	yà|yàn
椼	yǎn	yǎn
椽	chuán	chuán
椾	jiān	jiān|zhàn
椿	chūn	chūn
楀	yǔ	yǔ
楁	hé	hé
楂	zhā	chá|zhā
楃	wò	wò
楄	pián	pián
楅	bī	bī
楆	yāo	yāo
楇	huò	guō|huò|kuǎ
楈	xū	xū
楉	ruò	ruò
楊	yáng	yáng
楋	là	là
楌	yán	yán
楍	běn	běn
楎	huī	huī
楏	kuí	kuí
楐	jiè	jiè
楑	kuí	kuí
楒	sī	sī
楓	fēng	fán|fēng
楔	xiē	xiè|xiē
楕	tuǒ	tuǒ
楖	zhì	jí|zhì
楗	jiàn	jiàn|jiǎn
楘	mù	mù
楙	mào	mào
楚	chǔ	chu|chǔ
楛	hù	hù|kǔ
楜	hú	hú
楝	liàn	liàn
楞	léng	lèng|léng
楟	tíng	tíng
楠	nán	nán
楡	yú	yú
楢	yóu	yóu|yǒu
楣	méi	méi|měi
楤	sǒng	cōng|sǒng
楥	xuàn	xuàn|yuán
楦	xuàn	xuàn
楧	yǎng	yǎng
楨	zhēn	zhēn
楩	pián	pián
楪	dié	dié|yè
楫	jí	jí
楬	jié	jié|qià
業	yè	yè
楮	chǔ	chǔ|zhū
楯	dùn	chūn|dùn|shǔn
楰	yú	yú
楱	zòu	cōu|zòu
楲	wēi	wēi
楳	méi	méi
楴	tì	dǐ|shì|tì
極	jí	jí|jǐ
楶	jié	jié
楷	kǎi	jiè|jiē|kǎi
楸	qiū	qiū
楹	yíng	yíng
楺	rǒu	ròu|rǒu
楻	huáng	huáng
楼	lóu	lóu
楽	lè	lè
楾	quán	quán
楿	xiāng	xiāng
榀	pǐn	pǐn
榁	shǐ	shǐ
概	gài	guì|gài|jié
榃	tán	tán
榄	lǎn	lǎn
榅	wēn	wēn|yùn
榆	yú	yú
榇	chèn	chèn
榈	lǘ	lǘ
榉	jǔ	jǔ
榊	shén	shén
榋	chu	chu
榌	bī	bī
榍	xiè	xiè
榎	jiǎ	jiǎ
榏	yì	yì
榐	zhǎn	chǎn|niàn|zhèn|zhǎn
榑	fú	bó|fù|fú
榒	nuò	nuò
榓	mì	mì
榔	láng	láng|lǎng
榕	róng	róng
榖	gǔ	gǔ
榗	jiàn	jiàn|jìn
榘	jǔ	jǔ
榙	tā	tā
榚	yǎo	yǎo
榛	zhēn	zhēn
榜	bǎng	bàng|bēng|bǎng|páng|péng
榝	shā	shā|xiè
榞	yuán	yuán
榟	zǐ	zǐ
榠	míng	míng
榡	sù	sù
榢	jià	jià
榣	yáo	yáo
榤	jié	jié
榥	huàng	huàng
榦	gàn	gàn|hán
榧	fěi	fěi
榨	zhà	zhà
榩	qián	qián
榪	mà	mà|mǎ
榫	sǔn	sǔn
榬	yuán	yuán
榭	xiè	xiè
榮	róng	róng
榯	shí	shí
榰	zhī	zhī
榱	cuī	cuī
榲	wēn	wēn
榳	tíng	tíng
榴	liú	liú
榵	róng	róng
榶	táng	táng
榷	què	què
榸	zhāi	zhāi
榹	sī	sī
榺	shèng	shèng
榻	tà	tà
榼	kē	kē
榽	xī	xī
榾	gǔ	gǔ
榿	qī	qī
槀	gǎo	gǎo|kào
槁	gǎo	gāo|gǎo|kào
槂	sūn	sūn
槃	pán	pán
槄	tāo	tāo
槅	gé	gé
槆	chūn	chūn
槇	diān	diān|zhēn|zhěn
槈	nòu	nòu
槉	jí	jí
槊	shuò	shuò
構	gòu	gòu|jué
槌	chuí	chuí|duī|zhuì
槍	qiāng	chēng|qiāng|qiǎng
槎	chá	chá
槏	qiǎn	lián|qiǎn|xiàn
槐	huái	huái
槑	méi	méi
槒	xù	xù
槓	gàng	gàng
槔	gāo	gāo
槕	zhuō	zhuō
槖	tuó	tuó
槗	qiáo	qiáo
様	yàng	yàng
槙	diān	diān
槚	jiǎ	jiǎ
槛	kǎn	jiàn|kǎn
槜	zuì	zuì
槝	dǎo	dǎo
槞	lóng	lóng
槟	bīn	bīn|bīng
槠	zhū	zhū
槡	sāng	sāng
槢	xí	dié|xí
槣	jī	guī|jī
槤	lián	lián|liǎn
槥	huì	huì
槦	yōng	yōng
槧	qiàn	qiàn
槨	guǒ	guǒ
槩	gài	gài
槪	gài	gài
槫	tuán	quán|shuàn|tuán
槬	huà	huà
槭	qì	cù|qì|qī|sè|zú
槮	sēn	shěn|sēn
槯	cuī	cuī|zuǐ
槰	péng	péng
槱	yǒu	chǎo|yǒu
槲	hú	hú
槳	jiǎng	jiāng|jiǎng
槴	hù	hù
槵	huàn	huàn
槶	guì	guì
槷	niè	niè|xiè|yì
槸	yì	yì
槹	gāo	gāo
槺	kāng	kāng
槻	guī	guī
槼	guī	guī
槽	cáo	cáo|zāo
槾	màn	màn|mán|wàn
槿	jǐn	jǐn|qín
樀	dí	dí|dī|zhé|zhí
樁	zhuāng	chōng|zhuāng
樂	lè	liáo|luò|lè|yuè|yào
樃	lǎng	lǎng
樄	chén	chén
樅	cōng	cōng|zōng
樆	lí	chī|lí
樇	xiū	xiū
樈	qíng	qíng
樉	shuǎng	shuǎng
樊	fán	fàn|fán
樋	tōng	tōng
樌	guàn	guàn
樍	zé	zé
樎	sù	sù
樏	lěi	léi|lěi
樐	lǔ	lǔ
樑	liáng	liáng
樒	mì	mì
樓	lóu	lóu|lǘ
樔	cháo	cháo|chāo|jiǎo
樕	sù	sù
樖	kē	kē
樗	chū	chū
樘	táng	chēng|táng
標	biāo	biào|biāo
樚	lù	dú|lù
樛	jiū	jiū|liáo
樜	zhè	zhè
樝	zhā	zhā
樞	shū	shū|ōu
樟	zhāng	zhāng
樠	mán	lǎng|mán
模	mó	mó|mú
樢	niǎo	mù|niǎo
樣	yàng	xiàng|yàng
樤	tiáo	tiáo
樥	péng	péng
樦	zhù	zhù
樧	shā	shā
樨	xī	xī
権	quán	quán
横	héng	guàng|guāng|huàng|huáng|hèng|héng
樫	jiān	jiān
樬	cōng	cōng
樭	jī	jī
樮	yān	yān
樯	qiáng	qiáng
樰	xuě	xuě
樱	yīng	yīng
樲	èr	zhì|èr
樳	xún	xún
樴	zhí	yì|zhí
樵	qiáo	qiáo
樶	zuī	zuī
樷	cóng	cóng
樸	pǔ	pú|pǔ
樹	shù	shù
樺	huà	huà
樻	kuì	kuì
樼	zhēn	zhēn
樽	zūn	zūn
樾	yuè	yuè
樿	shàn	shàn
橀	xī	xī
橁	chūn	chūn
橂	diàn	diàn
橃	fá	fá|fèi
橄	gǎn	gǎn
橅	mó	mó
橆	wǔ	wú|wǔ
橇	qiāo	qiāo
橈	ráo	náo|ráo
橉	lìn	lìn
橊	liú	liú
橋	qiáo	jiào|jiāo|jiǎo|qiáo|qiāo
橌	xiàn	xiàn
橍	rùn	rùn
橎	fán	fán
橏	zhǎn	jiǎn|zhǎn
橐	tuó	dù|luò|tuó
橑	liáo	liáo|lǎo
橒	yún	yún
橓	shùn	shùn
橔	dūn	dūn|tuí
橕	chēng	chēng
橖	táng	chēng|táng
橗	méng	méng
橘	jú	jú
橙	chéng	chén|chéng|dèng
橚	sù	qiū|sù|xiāo
橛	jué	jué
橜	jué	jué
橝	diàn	diàn|tán|xín
橞	huì	huì
機	jī	jī
橠	nuǒ	nuó|nuǒ
橡	xiàng	xiàng
橢	tuǒ	duǒ|tuǒ
橣	nǐng	nǐng
橤	ruǐ	ruǐ
橥	zhū	zhū
橦	tóng	chuáng|chōng|tóng|zhōng
橧	zēng	céng|zēng
橨	fén	fèi|fèn|fén
橩	qióng	qióng
橪	rǎn	rǎn|yān
