# form	reading	naive	authority	note
睡得著	shuì de zháo	shuì dé zhù	cc-cedict	to fall asleep; to get to sleep
睡懶覺	shuì lǎn jiào	shuì lǎn jué	cc-cedict	to sleep in
瞧著辦	qiáo zhe bàn	qiáo zhù bàn	cc-cedict	to do as one sees fit/It's up to you./Let's wait and see and then decide what to do.
矇矇亮	mēng mēng liàng	méng méng liàng	cc-cedict	dawn/the first glimmer of light
矇矇黑	mēng mēng hēi	méng méng hēi	cc-cedict	dusk
知了猴	zhī liǎo hóu	zhī le hóu	cc-cedict	(coll.) newly-emerged cicada nymph
知更鳥	zhī gēng niǎo	zhī gèng niǎo	cc-cedict	redbreast/robin
短波長	duǎn bō cháng	duǎn bō zhǎng	cc-cedict	short wavelength
矮個兒	ǎi gè r	ǎi gè ér	cc-cedict	a person of short stature/a short person
矮地茶	ǎi dì chá	ǎi de chá	cc-cedict	(loanword) Japanese ardisia (Ardisia japonica) (herb)
石子兒	shí zǐ r	shí zǐ ér	cc-cedict	erhua form of 石子[shi2 zi3]
矽利康	xī lì kāng	xì lì kāng	cc-cedict	(Tw) silicone (loanword)
矽晶片	xī jīng piàn	xì jīng piàn	cc-cedict	silicon chip/also written 硅晶片[gui1 jing1 pian4]
矽橡膠	xī xiàng jiāo	xì xiàng jiāo	cc-cedict	(Tw) silicone rubber
矽肺病	xī fèi bìng	xì fèi bìng	cc-cedict	silicosis
矽鋁層	xī lǚ céng	xì lǚ céng	cc-cedict	Sial
矽鎂層	xī měi céng	xì měi céng	cc-cedict	sima (geology)/silicon and magnesium layer in earth's crust
砌長城	qì cháng chéng	qì zhǎng chéng	cc-cedict	(coll.) to play mahjong
破題兒	pò tí r	pò tí ér	cc-cedict	erhua form of 破題|破题[po4 ti2] (chiefly used in the colloquial "first-time-ever" sense)
砷中毒	shēn zhòng dú	shēn zhōng dú	cc-cedict	arsenic poisoning
硬著陸	yìng zhuó lù	yìng zhù lù	cc-cedict	(aviation) hard landing/(economics) hard landing
碌曲縣	lù qǔ xiàn	lù qū xiàn	cc-cedict	Luqu, a county in Gannan Tibetan Autonomous Prefecture 甘南藏族自治州[Gan1 nan2 Zang4 zu2 Zi4 zhi4 zhou1], Gansu
碎塊兒	suì kuài r	suì kuài ér	cc-cedict	erhua variant of 碎塊|碎块[sui4 kuai4]
碑座兒	bēi zuò r	bēi zuò ér	cc-cedict	erhua variant of 碑座[bei1 zuo4]
碰瓷兒	pèng cí r	pèng cí ér	cc-cedict	erhua form of 碰瓷[peng4 ci2]
碼長城	mǎ cháng chéng	mǎ zhǎng chéng	cc-cedict	(coll.) to play mahjong
磁感應	cí gǎn yìng	cí gǎn yīng	cc-cedict	magnetic induction
磁重聯	cí chóng lián	cí zhòng lián	cc-cedict	(physics) magnetic reconnection
磨不開	mò bù kāi	mó bù kāi	cc-cedict	to feel embarrassed
磨坊主	mò fáng zhǔ	mó fāng zhǔ	cc-cedict	miller
磨得開	mò de kāi	mó dé kāi	cc-cedict	to feel unembarrassed; to be at ease/(dialect) to be convinced; to come round
磨豆腐	mò dòu fu	mó dòu fǔ	cc-cedict	to grumble/to chatter away incessantly
礤床兒	cǎ chuáng r	cǎ chuáng ér	cc-cedict	shredder/grater (kitchen implement for grating vegetables)
票友兒	piào yǒu r	piào yǒu ér	cc-cedict	an amateur actor (e.g. in Chinese opera)
禁不住	jīn bu zhù	jìn bù zhù	cc-cedict	can't help it/can't bear it
禁不起	jīn bu qǐ	jìn bù qǐ	cc-cedict	to be unable to stand
秒差距	miǎo chā jù	miǎo chà jù	cc-cedict	parsec (astronomy)
租借地	zū jiè dì	zū jiè de	cc-cedict	concession (territory)
秦吉了	qín jí liǎo	qín jí le	cc-cedict	mythical talking bird/mynah bird
秦都區	qín dū qū	qín dōu qū	cc-cedict	Qindu, a district of Xianyang City 咸陽市|咸阳市[Xian2 yang2 Shi4], Shaanxi
種植園	zhòng zhí yuán	zhǒng zhí yuán	cc-cedict	plantation
種植業	zhòng zhí yè	zhǒng zhí yè	cc-cedict	plantation
種植牙	zhòng zhí yá	zhǒng zhí yá	cc-cedict	dental implant
種植體	zhòng zhí tǐ	zhǒng zhí tǐ	cc-cedict	implant (dentistry)
稱之為	chēng zhī wéi	chēng zhī wèi	cc-cedict	to call it.../known as...
稱多縣	chèn duō xiàn	chēng duō xiàn	cc-cedict	Chindu, a county in Yushu Tibetan Autonomous Prefecture 玉樹藏族自治州|玉树藏族自治州[Yu4 shu4 Zang4 zu2 Zi4 zhi4 zhou1], Qinghai
穀梁傳	gǔ liáng zhuàn	gǔ liáng chuán	cc-cedict	Guliang Annals, commentary on the Spring and Autumn Annals 春秋[Chun1 qiu1], first published during the Han Dynasty
穆勒鞋	mù lè xié	mù lēi xié	cc-cedict	mule shoes (loanword)
穆稜市	mù líng shì	mù léng shì	cc-cedict	Muling, a county-level city in Mudanjiang City 牡丹江市[Mu3 dan1 jiang1 Shi4], Heilongjiang
積累性	jī lěi xìng	jī lèi xìng	cc-cedict	cumulative
空對地	kōng duì dì	kōng duì de	cc-cedict	air-to-surface (missile)
空心兒	kòng xīn r	kōng xīn ér	cc-cedict	erhua variant of 空心[kong4 xin1]
空格鍵	kòng gé jiàn	kōng gé jiàn	cc-cedict	space bar (keyboard)
空白點	kòng bái diǎn	kōng bái diǎn	cc-cedict	gap/empty space
空著手	kōng zhe shǒu	kōng zhù shǒu	cc-cedict	empty-handed
空調房	kōng tiáo fáng	kōng diào fáng	cc-cedict	air-conditioned room
空調病	kōng tiáo bìng	kōng diào bìng	cc-cedict	adverse effects caused by prolonged air-conditioning exposure, including dizziness, headaches, fatigue or chest tightnes
空調車	kōng tiáo chē	kōng diào chē	cc-cedict	air conditioned vehicle
窩脖兒	wō bó r	wō bó ér	cc-cedict	to suffer a snub/to meet with a rebuff
窮酸相	qióng suān xiàng	qióng suān xiāng	cc-cedict	wretched look/shabby looks
窯姐兒	yáo jiě r	yáo jiě ér	cc-cedict	erhua variant of 窯姐|窑姐[yao2 jie3]
竅門兒	qiào mén r	qiào mén ér	cc-cedict	erhua form of 竅門|窍门[qiao4 men2]
竹箍兒	zhú gū r	zhú gū ér	cc-cedict	bamboo hoop/bamboo band
笑臉兒	xiào liǎn r	xiào liǎn ér	cc-cedict	erhua variant of 笑臉|笑脸[xiao4 lian3]
笑話兒	xiào hua r	xiào huà ér	cc-cedict	erhua form of 笑話|笑话[xiao4 hua5]
第三地	dì sān dì	dì sān de	cc-cedict	territory belonging to a third party (as a neutral location for peace negotiations or as a transit point for indirect tr
等著瞧	děng zhe qiáo	děng zhù qiáo	cc-cedict	wait and see (who is right)
筋斗雲	jīn dǒu yún	jīn dòu yún	cc-cedict	Sun Wukong's magical cloud
策勒縣	cè lè xiàn	cè lēi xiàn	cc-cedict	Qira, a county in Hotan City 和田市[He2 tian2 Shi4], Xinjiang
策源地	cè yuán dì	cè yuán de	cc-cedict	place of origin/source (of a war or a social movement)
筠連縣	jūn lián xiàn	yún lián xiàn	cc-cedict	Junlian, a county in Yibin City 宜賓市|宜宾市[Yi2 bin1 Shi4], Sichuan
算不了	suàn bù liǎo	suàn bù le	cc-cedict	does not count for anything/of no account
管不著	guǎn bu zháo	guǎn bù zhù	cc-cedict	to have no right or ability to interfere in sth/it's none of your business!
管弦樂	guǎn xián yuè	guǎn xián lè	cc-cedict	orchestral music
管得著	guǎn de zháo	guǎn dé zhù	cc-cedict	to concern oneself with (a matter); to make (sth) one's business
管樂器	guǎn yuè qì	guǎn lè qì	cc-cedict	wind instrument/woodwind
節假日	jié jià rì	jié jiǎ rì	cc-cedict	public holiday
簡帖兒	jiǎn tiě r	jiǎn tiē ér	cc-cedict	a letter
粘乎乎	nián hū hū	zhān hū hū	cc-cedict	sticky/slimy
粘稠度	nián chóu dù	zhān chóu dù	cc-cedict	viscosity
