# form	reading	naive	authority	note
引著	yǐn zháo	yǐn zhù	cc-cedict	to ignite/to kindle
弦樂	xián yuè	xián lè	cc-cedict	string music
弧長	hú cháng	hú zhǎng	cc-cedict	arc length
張掖	zhāng yè	zhāng yē	cc-cedict	see 張掖市|张掖市[Zhang1 ye4 Shi4]
張角	zhāng jué	zhāng jiǎo	cc-cedict	Zhang Jue (-184), leader of the Yellow turban rebels during the late Han
強使	qiǎng shǐ	qiáng shǐ	cc-cedict	to force; to oblige
強勁	qiáng jìng	qiáng jìn	cc-cedict	strong/powerful/robust
強嘴	jiàng zuǐ	qiáng zuǐ	cc-cedict	to talk back/to reply defiantly
強徵	qiǎng zhēng	qiáng zhǐ	cc-cedict	to press into service/to impress/to commandeer
強忍	qiǎng rěn	qiáng rěn	cc-cedict	to resist (with great difficulty)
強拉	qiǎng lā	qiáng lā	cc-cedict	to drag (sb) along (to a place)/to yank
強撐	qiǎng chēng	qiáng chēng	cc-cedict	to use all one's willpower (to do sth)/to hang in there
強求	qiǎng qiú	qiáng qiú	cc-cedict	to insist on; to demand; to impose
強辯	qiǎng biàn	qiáng biàn	cc-cedict	to try to make one's case using false arguments
強迫	qiǎng pò	qiáng pò	cc-cedict	to compel/to force
強逼	qiǎng bī	qiáng bī	cc-cedict	to compel/to force
彈出	tán chū	dàn chū	cc-cedict	to eject/to exit from/to pop up
彈力	tán lì	dàn lì	cc-cedict	elasticity/elastic force/spring/rebound/bounce
彈劾	tán hé	dàn hé	cc-cedict	to impeach (an official)
彈唱	tán chàng	dàn chàng	cc-cedict	to sing and play (plucked string instrument)
彈回	tán huí	dàn huí	cc-cedict	to rebound
彈壓	tán yā	dàn yā	cc-cedict	to suppress/to quell (a disturbance)/repression
彈奏	tán zòu	dàn zòu	cc-cedict	to play (musical instrument, esp. string)
彈子	tán zi	dàn zǐ	cc-cedict	towrope
彈射	tán shè	dàn shè	cc-cedict	to catapult/to launch/to eject (from a plane)/to shoot
彈性	tán xìng	dàn xìng	cc-cedict	flexibility/elasticity
彈指	tán zhǐ	dàn zhǐ	cc-cedict	to snap one's fingers/(fig.) in a flash; in an instant
彈撥	tán bō	dàn bō	cc-cedict	to pluck (a string)
彈斥	tán chì	dàn chì	cc-cedict	accuse and criticize
彈片	tán piàn	dàn piàn	cc-cedict	plectrum
彈牙	tán yá	dàn yá	cc-cedict	al dente
彈球	tán qiú	dàn qiú	cc-cedict	to play marbles
彈琴	tán qín	dàn qín	cc-cedict	to play or strum a lute or other stringed instrument
彈窗	tán chuāng	dàn chuāng	cc-cedict	pop-up window (computing)
彈簧	tán huáng	dàn huáng	cc-cedict	spring
彈糾	tán jiū	dàn jiū	cc-cedict	to accuse/to impeach
彈舌	tán shé	dàn shé	cc-cedict	to cluck/to trill
彈花	tán huā	dàn huā	cc-cedict	to soften cotton fiber by fluffing
彈詞	tán cí	dàn cí	cc-cedict	ballad tune in southern dialects, usually to sanxian 三弦 or pipa 琵琶 accompaniment
彈跳	tán tiào	dàn tiào	cc-cedict	to bounce/to jump/to leap
彌勒	mí lè	mí lēi	cc-cedict-buddhist	Maitreya, the future Bodhisattva, to come after Shakyamuni Buddha
彌縫	mí féng	mí fèng	cc-cedict	to cover up mistakes or crimes/to stitch up/to fix
影兒	yǐng r	yǐng ér	cc-cedict	shadow
彷彿	fǎng fú	páng fú	cc-cedict	to seem; as if; seemingly/alike; similar
往還	wǎng huán	wǎng hái	cc-cedict	to contact; to have dealings (with sb)
征勦	zhēng jiǎo	zhēng chāo	cc-cedict	to mount a punitive expedition against bandits
征地	zhēng dì	zhēng de	cc-cedict	to requisition land
後傳	hòu zhuàn	hòu chuán	cc-cedict	sequel
後兒	hòu r	hòu ér	cc-cedict	the day after tomorrow
後燕	hòu yān	hòu yàn	cc-cedict	Later Yan of the Sixteen Kingdoms (384-409)
徒裼	tú xī	tú tì	cc-cedict	(archaic) barefooted and barebreasted
得中	dé zhòng	dé zhōng	cc-cedict	(as in an imperial examination) to be a successful candidate/to draw a winning ticket (in a lottery)
得了	dé liǎo	dé le	cc-cedict	(emphatically, in rhetorical questions) possible
得當	dé dàng	dé dāng	cc-cedict	appropriate/suitable
得看	děi kàn	dé kàn	cc-cedict	(it) depends on ...
得空	dé kòng	dé kōng	cc-cedict	to have leisure time
得著	dé zháo	dé zhù	cc-cedict	to obtain
得虧	děi kuī	dé kuī	cc-cedict	luckily/fortunately
得要	děi yào	dé yào	cc-cedict	to need/must
復興	fù xīng	fù xìng	cc-cedict	to revive/to rejuvenate
復辟	fù bì	fù pì	cc-cedict	to recover one's power or authority/restoration (of a past regime)
循分	xún fèn	xún fēn	cc-cedict	to abide by one's duties
循著	xún zhe	xún zhù	cc-cedict	to follow
微創	wēi chuāng	wēi chuàng	cc-cedict	(of surgery, treatment etc) minimally invasive
微薄	wēi bó	wēi báo	cc-cedict	scanty/meager
微調	wēi tiáo	wēi diào	cc-cedict	fine tuning/trimming
徵信	zhēng xìn	zhǐ xìn	cc-cedict	to examine the reliability/reliable/credit reporting
徵候	zhēng hòu	zhǐ hòu	cc-cedict	sign; indication; symptom
徵傳	zhēng zhuàn	zhǐ chuán	cc-cedict	narrative of long journey/campaign record
徵兆	zhēng zhào	zhǐ zhào	cc-cedict	omen/sign (that sth is about to happen)/warning sign
徵兵	zhēng bīng	zhǐ bīng	cc-cedict	to levy troops/recruitment
徵募	zhēng mù	zhǐ mù	cc-cedict	to conscript
徵友	zhēng yǒu	zhǐ yǒu	cc-cedict	to seek new friends through personal ads, dating apps etc
徵召	zhēng zhào	zhǐ zhào	cc-cedict	to enlist/to draft/to conscript/to appoint to an official position
徵士	zhēng shì	zhǐ shì	cc-cedict	soldier (in battle)
徵婚	zhēng hūn	zhǐ hūn	cc-cedict	to look for a partner
徵實	zhēng shí	zhǐ shí	cc-cedict	levies in kind/grain tax
徵才	zhēng cái	zhǐ cái	cc-cedict	to recruit
徵收	zhēng shōu	zhǐ shōu	cc-cedict	to levy (a tax)/to expropriate
徵文	zhēng wén	zhǐ wén	cc-cedict	to solicit articles, essays or pieces of literature (on a subject or in commemoration of an event)
徵求	zhēng qiú	zhǐ qiú	cc-cedict	to solicit/to seek/to request (opinions, feedback etc)/to petition
徵狀	zhēng zhuàng	zhǐ zhuàng	cc-cedict	symptom
徵發	zhēng fā	zhǐ fā	cc-cedict	a punitive expedition/a requisition
徵稅	zhēng shuì	zhǐ shuì	cc-cedict	to levy taxes
徵稿	zhēng gǎo	zhǐ gǎo	cc-cedict	to solicit contributions (to a publication)
徵聘	zhēng pìn	zhǐ pìn	cc-cedict	to invite job applications/to recruit
徵詢	zhēng xún	zhǐ xún	cc-cedict	to consult; to solicit the opinion of
徵調	zhēng diào	zhǐ diào	cc-cedict	to conscript/to second (personnel)/to requisition (supplies etc)
徵象	zhēng xiàng	zhǐ xiàng	cc-cedict	sign/symptom
徵選	zhēng xuǎn	zhǐ xuǎn	cc-cedict	to call for entries and select the best/to solicit (entries, submissions, applications etc)/to select (the best candidat
徵集	zhēng jí	zhǐ jí	cc-cedict	to collect/to recruit
德干	dé gān	dé gàn	cc-cedict	Deccan (India)
德興	dé xīng	dé xìng	cc-cedict	see 德興市|德兴市[De2 xing1 Shi4]
徼倖	jiǎo xìng	jiào xìng	cc-cedict	variant of 僥倖|侥幸[jiao3 xing4]
徼幸	jiǎo xìng	jiào xìng	cc-cedict	variant of 僥倖|侥幸[jiao3 xing4]
心地	xīn dì	xīn de	cc-cedict	character
必得	bì děi	bì dé	cc-cedict	must/have to
必應	bì yìng	bì yīng	cc-cedict	Bing (search engine)
忖度	cǔn duó	cǔn dù	cc-cedict	to speculate/to surmise/to wonder whether/to guess
忙著	máng zhe	máng zhù	cc-cedict	to be occupied with (doing sth)
念佛	niàn fó	niàn fú	cc-cedict	to pray to Buddha/to chant the names of Buddha
怎麽	zěn me	zěn mó	cc-cedict	variant of 怎麼|怎么[zen3 me5]
怐愗	kòu mào	jù mào	cc-cedict	(literary) stupid; ignorant
怒喝	nù hè	nù hē	cc-cedict	to shout intimidatingly; to bellow (in anger)
怔住	zhèng zhù	zhēng zhù	cc-cedict	dumbfounded; stunned
怔忪	zhēng zhōng	zhēng sōng	cc-cedict	frightened/scared/terrified
怔怔	zhèng zhèng	zhēng zhēng	cc-cedict	in a daze
急著	jí zhe	jí zhù	cc-cedict	urgently
急難	jí nàn	jí nán	cc-cedict	misfortune/crisis/grave danger/critical situation/disaster/emergency/to be zealous in helping others out of a predicamen
性地	xìng dì	xìng de	cc-cedict	innate quality/natural disposition
性徵	xìng zhēng	xìng zhǐ	cc-cedict	sexual characteristic
怨艾	yuàn yì	yuàn ài	cc-cedict	to resent/to regret/grudge
怪相	guài xiàng	guài xiāng	cc-cedict	grotesque visage/grimace
恁般	rèn bān	nèn bān	cc-cedict	(old) this way/this much
恁麼	rèn me	nèn me	cc-cedict	(old) this way/what?
恐嚇	kǒng hè	kǒng xià	cc-cedict	to threaten/to menace
恤匱	xù kuì	xù guì	cc-cedict	to relieve the distressed
恨惡	hèn wù	hèn è	cc-cedict	to despise
恩眄	ēn miǎn	ēn miàn	cc-cedict	kind patronage
恫嚇	dòng hè	dòng xià	cc-cedict	to intimidate/to threaten
恰當	qià dàng	qià dāng	cc-cedict	appropriate/suitable
悄然	qiǎo rán	qiāo rán	cc-cedict	quietly/sorrowfully
悄聲	qiǎo shēng	qiāo shēng	cc-cedict	quietly/in a low voice
悉數	xī shǔ	xī shù	cc-cedict	to enumerate in detail/to explain clearly
悖繆	bèi miù	bèi móu	cc-cedict	variant of 悖謬|悖谬[bei4 miu4]
悠著	yōu zhe	yōu zhù	cc-cedict	to take it easy
悠長	yōu cháng	yōu zhǎng	cc-cedict	long/drawn-out/prolonged/lingering
患難	huàn nàn	huàn nán	cc-cedict	trials and tribulations
悶屁	mēn pì	mèn pì	cc-cedict	silent fart
悶熱	mēn rè	mèn rè	cc-cedict	sultry/sultriness/hot and stuffy/stifling hot
悶騷	mēn sāo	mèn sāo	cc-cedict	(coll.) outwardly cold or retiring but deep and passionate inside
情兒	qíng r	qíng ér	cc-cedict	(dialect) mistress; paramour
情分	qíng fèn	qíng fēn	cc-cedict	mutual affection; friendship
情勒	qíng lè	qíng lēi	cc-cedict	emotional blackmail (abbr. for 情緒勒索|情绪勒索[qing2 xu4 le4 suo3])
惡創	è chuāng	è chuàng	cc-cedict	malign sore (TCM)
惡少	è shào	è shǎo	cc-cedict	young thug/malicious young ruffian
惡心	ě xīn	è xīn	cc-cedict	nausea/to feel sick/disgust/nauseating/to embarrass (deliberately)
惡恨	wù hèn	è hèn	cc-cedict	to hate; to abhor
惡煞	è shà	è shā	cc-cedict	demon/fiend
惡相	è xiàng	è xiāng	cc-cedict	sinister look
愚氓	yú méng	yú máng	cc-cedict	fool/stupid person
愛好	ài hào	ài hǎo	cc-cedict	to like; to be fond of; to take pleasure in; to be keen on/interest; hobby
愛將	ài jiàng	ài jiāng	cc-cedict	trusted lieutenant
愛樂	ài yuè	ài lè	cc-cedict	philharmonic (used in names of orchestras)/to love music (used in compounds like 愛樂者|爱乐者[ai4 yue4 zhe3] "music enthusias
感應	gǎn yìng	gǎn yīng	cc-cedict	response/reaction/interaction/irritability (biol.)/induction (elec.)/inductance
愷弟	kǎi tì	kǎi dì	cc-cedict	variant of 愷悌|恺悌[kai3 ti4]
慢長	màn cháng	màn zhǎng	cc-cedict	extremely long/unending
慰藉	wèi jiè	wèi jí	cc-cedict	to console; to comfort
憎惡	zēng wù	zēng è	cc-cedict	to loathe; to detest; to abhor
憑著	píng zhe	píng zhù	cc-cedict	relying on/on the basis of
憑藉	píng jiè	píng jí	cc-cedict	to rely on/to depend on/by means of/thanks to/sth that one relies on/also written 憑借|凭借[ping2 jie4]
懂行	dǒng háng	dǒng xíng	cc-cedict	to know the ropes
應付	yìng fu	yīng fù	cc-cedict	to deal with; to cope
應分	yīng fèn	yīng fēn	cc-cedict	(of a course of action) within one's area of responsibility; expected of one; obligatory (for a person in that role)
應制	yìng zhì	yīng zhì	cc-cedict	to write a poem on the order of the Emperor
應力	yìng lì	yīng lì	cc-cedict	stress (physics)
應卯	yìng mǎo	yīng mǎo	cc-cedict	to answer the roll call at 卯時|卯时[mao3 shi2], i.e. between 5 and 7 am/fig. to put in a conventional appearance
應召	yìng zhào	yīng zhào	cc-cedict	to respond to a call
應和	yìng hè	yīng hé	cc-cedict	to echo one another/to respond (in agreement)
應城	yìng chéng	yīng chéng	cc-cedict	see 應城市|应城市[Ying4 cheng2 Shi4]
應報	yìng bào	yīng bào	cc-cedict	see 報應|报应[bao4 ying4]
應對	yìng duì	yīng duì	cc-cedict	to answer; to reply/to handle; to deal with/response
應市	yìng shì	yīng shì	cc-cedict	to respond to the market/to buy or sell according to market conditions
應從	yìng cóng	yīng cóng	cc-cedict	to assent/to comply with
應徵	yìng zhēng	yīng zhǐ	cc-cedict	to apply (for a job)/to reply to a job advertisement
應急	yìng jí	yīng jí	cc-cedict	to respond to an emergency/to meet a contingency/(attributive) emergency
應戰	yìng zhàn	yīng zhàn	cc-cedict	to take up a challenge/to face an attack and meet it
應手	yìng shǒu	yīng shǒu	cc-cedict	to handle/convenient
應承	yìng chéng	yīng chéng	cc-cedict	to agree (to do sth)/to promise
應接	yìng jiē	yīng jiē	cc-cedict	to attend to/to deal with
應援	yìng yuán	yīng yuán	cc-cedict	(originally) to provide assistance/(more recently) to show one's support (for a singing idol etc)
應敵	yìng dí	yīng dí	cc-cedict	to face the enemy/to meet an attack
應時	yìng shí	yīng shí	cc-cedict	timely/occasional
應景	yìng jǐng	yīng jǐng	cc-cedict	according with the times/seasonal
應激	yìng jī	yīng jī	cc-cedict	stress (abbr. for 應激反應|应激反应[ying4 ji1 fan3 ying4])
應用	yìng yòng	yīng yòng	cc-cedict	to put to use; to apply/practical; applied (science, linguistics etc)/application; practical use/(computing) app
應答	yìng dá	yīng dá	cc-cedict	to reply
應縣	yìng xiàn	yīng xiàn	cc-cedict	Ying County or Yingxian, a county in Shuozhou City 朔州市[Shuo4 zhou1 Shi4], Shanxi
應考	yìng kǎo	yīng kǎo	cc-cedict	to take an exam
應聘	yìng pìn	yīng pìn	cc-cedict	to accept a job offer/to apply for an advertised position
應聲	yìng shēng	yīng shēng	cc-cedict	an answering voice/to answer a voice/to respond/to copy a voice/to parrot
應舉	yìng jǔ	yīng jǔ	cc-cedict	to sit for imperial examinations
應訴	yìng sù	yīng sù	cc-cedict	(of a defendant) to respond to a charge/to defend oneself
應診	yìng zhěn	yīng zhěn	cc-cedict	to see patients (of doctor)/to hold a surgery
應詔	yìng zhào	yīng zhào	cc-cedict	to respond to an imperial decree
應試	yìng shì	yīng shì	cc-cedict	to take an exam/(of an education system) to be exam-oriented
應諾	yìng nuò	yīng nuò	cc-cedict	to agree (to do sth); to promise
應變	yìng biàn	yīng biàn	cc-cedict	to meet a contingency; to adapt oneself to changes
應運	yìng yùn	yīng yùn	cc-cedict	to conform with destiny/as the occasion demands
應選	yìng xuǎn	yīng xuǎn	cc-cedict	to run for election/to be selected; to be elected
應邀	yìng yāo	yīng yāo	cc-cedict	at sb's invitation/on invitation
應酬	yìng chou	yīng chóu	cc-cedict	to engage in social activities; to socialize/dinner party; banquet; social engagement
應門	yìng mén	yīng mén	cc-cedict	to answer the door
應驗	yìng yàn	yīng yàn	cc-cedict	to come true/to come about as predicted/to be fulfilled
應點	yìng diǎn	yīng diǎn	cc-cedict	to act on one's word
懮慮	yōu lǜ	yǒu lǜ	cc-cedict	(feel) anxiety/concern
懲處	chéng chǔ	chéng chù	cc-cedict	to punish/to administer justice
懶散	lǎn sǎn	lǎn sàn	cc-cedict	indolent; negligent; slack
懸揣	xuán chuǎi	xuán chuāi	cc-cedict	to speculate/to conjecture
戇督	gàng dū	zhuàng dū	cc-cedict	stupid, ignorant (Wu dialect)
戎行	róng háng	róng xíng	cc-cedict	troops/military affairs
成佛	chéng fó	chéng fú	cc-cedict	to become a Buddha/to attain enlightenment
成分	chéng fèn	chéng fēn	cc-cedict	composition; ingredient; element; component/one's social status
成為	chéng wéi	chéng wèi	cc-cedict	to become; to turn into
成都	chéng dū	chéng dōu	cc-cedict	see 成都市[Cheng2 du1 Shi4]
戛納	gā nà	jiá nà	cc-cedict	Cannes (France)
戰地	zhàn dì	zhàn de	cc-cedict	battlefield
戲曲	xì qǔ	xì qū	cc-cedict	Chinese opera
戳兒	chuō r	chuō ér	cc-cedict	stamp/seal
戽斗	hù dǒu	hù dòu	cc-cedict	bailing bucket (tool for irrigating fields)/protruding lower jaw
房舍	fáng shè	fáng shě	cc-cedict	house/building
所為	suǒ wéi	suǒ wèi	cc-cedict	what one does/doings
所長	suǒ cháng	suǒ zhǎng	cc-cedict	what one is good at; one's strong point
扁舟	piān zhōu	biǎn zhōu	cc-cedict	(literary) small boat; skiff
扇動	shān dòng	shàn dòng	cc-cedict	to fan/to flap/to incite/to instigate (a strike etc)
扇風	shān fēng	shàn fēng	cc-cedict	to fan oneself/to fan (sb)
手卷	shǒu juàn	shǒu juǎn	cc-cedict	hand scroll
手把	shǒu bà	shǒu bǎ	cc-cedict	handle
手相	shǒu xiàng	shǒu xiāng	cc-cedict	palmistry/features of a palm (in palmistry)
手縫	shǒu féng	shǒu fèng	cc-cedict	to sew by hand/hand-sewn
手鑽	shǒu zuàn	shǒu zuān	cc-cedict	gimlet/hand drill
才分	cái fèn	cái fēn	cc-cedict	ability/talent/gift
扎帶	zā dài	zhā dài	cc-cedict	cable tie
扒手	pá shǒu	bā shǒu	cc-cedict	pickpocket
扒拉	pá la	bā lā	cc-cedict	(coll.) to push food from one's bowl into one's mouth with chopsticks (usu. hurriedly)
扒灰	pá huī	bā huī	cc-cedict	incest between father-in-law and daughter-in-law
扒犁	pá lí	bā lí	cc-cedict	variant of 爬犁[pa2 li2]
扒竊	pá qiè	bā qiè	cc-cedict	to steal/to pick pockets/to frisk
扒糕	pá gāo	bā gāo	cc-cedict	buckwheat pudding (snack of buckwheat noodles with sauce)
扒糞	pá fèn	bā fèn	cc-cedict	muckraking/to stir up scandal/to expose (corruption)
扒飯	pá fàn	bā fàn	cc-cedict	to push food into one's mouth using chopsticks while holding one's bowl up to one's mouth
打中	dǎ zhòng	dǎ zhōng	cc-cedict	to hit (a target)
打倒	dǎ dǎo	dǎ dào	cc-cedict	to overthrow/to knock down/Down with ... !
打哄	dǎ hǒng	dǎ hōng	cc-cedict	to fool around/to kid around
打啵	dǎ bō	dǎ bo	cc-cedict	(dialect) to kiss
打場	dǎ cháng	dǎ chǎng	cc-cedict	to thresh grain (on the floor)
打更	dǎ gēng	dǎ gèng	cc-cedict	to sound the night watches (on clappers or gongs, in former times)
打杈	dǎ chà	dǎ chā	cc-cedict	to prune (branches)
打烊	dǎ yàng	dǎ yáng	cc-cedict	to close shop in the evening/also pr. [da3 yang2]
打的	dǎ dī	dǎ de	cc-cedict	(coll.) to take a taxi/to go by taxi
打轉	dǎ zhuàn	dǎ zhuǎn	cc-cedict	to spin/to rotate/to revolve
打顫	dǎ zhàn	dǎ chàn	cc-cedict	to shiver/to tremble
托兒	tuō r	tuō ér	cc-cedict	(coll.) shill; tout; phony customer who pretends to buys things so as to lure real customers
扣應	kòu yìng	kòu yīng	cc-cedict	to call in (to a broadcast program) (loanword) (Tw)
扮相	bàn xiàng	bàn xiāng	cc-cedict	stage costume
扶掖	fú yè	fú yē	cc-cedict	to support/to help
扶綏	fú suí	fú suī	cc-cedict	see 扶綏縣|扶绥县[Fu2 sui2 Xian4]
批假	pī jià	pī jiǎ	cc-cedict	to approve vacation
批卷	pī juàn	pī juǎn	cc-cedict	to correct student papers/to grade exam papers
找著	zhǎo zháo	zhǎo zhù	cc-cedict	to find
承應	chéng yìng	chéng yīng	cc-cedict	to agree/to promise
技倆	jì liǎng	jì liǎ	cc-cedict	variant of 伎倆|伎俩[ji4 liang3]
把兒	bà r	bǎ ér	cc-cedict	a handle
把子	bà zi	bǎ zǐ	cc-cedict	handle
抑塞	yì sè	yì sāi	cc-cedict	to repress/gloomy
抓地	zhuā dì	zhuā de	cc-cedict	grip on the road/roadholding
投中	tóu zhòng	tóu zhōng	cc-cedict	to hit the target with one's throw/(basketball) to score
投奔	tóu bèn	tóu bēn	cc-cedict	to seek shelter/to seek asylum
投行	tóu háng	tóu xíng	cc-cedict	investment bank (abbr. for 投資銀行|投资银行[tou2 zi1 yin2 hang2])
投降	tóu xiáng	tóu jiàng	cc-cedict	to surrender
折本	shé běn	zhé běn	cc-cedict	a loss/to lose money
折秤	shé chèng	zhé chèng	cc-cedict	discrepancy in weight
折籮	zhē luó	zhé luó	cc-cedict	mixed dish of the food left over from a banquet
折縫	zhé féng	zhé fèng	cc-cedict	welt seam (doubled over and sewed again from topside)
折耗	shé hào	zhé hào	cc-cedict	loss of goods/damage to goods/shrinkage
折錢	shé qián	zhé qián	cc-cedict	a loss/to lose money
折騰	zhē teng	zhé téng	cc-cedict	to toss from side to side (e.g. sleeplessly)/to repeat sth over and over again/to torment sb/to play crazy/to squander (
披靡	pī mǐ	pī mí	cc-cedict	to be swept by the wind/to be blown about by the wind/to be routed (in battle etc)
抹布	mā bù	mǒ bù	cc-cedict	cleaning rag/also pr. [mo3 bu4]
抹胸	mò xiōng	mǒ xiōng	cc-cedict	old feminine garment, covering chest and abdomen
押解	yā jiè	yā jiě	cc-cedict	to send away under escort (criminals, goods etc)
抽中	chōu zhòng	chōu zhōng	cc-cedict	to win (a prize in a lottery)
抽佣	chōu yòng	chōu yōng	cc-cedict	to take a commission; to take a percentage cut
抽咽	chōu yè	chōu yàn	cc-cedict	to sob
抽斗	chōu dǒu	chōu dòu	cc-cedict	drawer
抽空	chōu kòng	chōu kōng	cc-cedict	to find the time to do sth
拉倒	lā dǎo	lā dào	cc-cedict	(coll.) forget it; drop it; let it go/to pull down
拉碴	lā chā	lā chá	cc-cedict	(of beard etc) stubbly/scraggly/unkempt
拉磨	lā mò	lā mó	cc-cedict	(of a donkey etc) to turn a millstone/(fig.) to do laborious and monotonous work
拉長	lā cháng	lā zhǎng	cc-cedict	to lengthen/to pull sth out longer
拋撒	pāo sǎ	pāo sā	cc-cedict	to sprinkle
拌和	bàn huò	bàn hé	cc-cedict	to mix and stir/to blend
拓寬	tuò kuān	tà kuān	cc-cedict	to broaden
拓展	tuò zhǎn	tà zhǎn	cc-cedict	to expand; to extend; to broaden (client base, outlook, territory etc)/(computing) to scale up; to increase system capac
拓拔	tuò bá	tà bá	cc-cedict	branch of the Xianbei 鮮卑|鲜卑 nomadic people, founders of Wei 北魏 of the Northern Dynasties (386-534)/also written 拓跋
拓撲	tuò pū	tà pū	cc-cedict	(math.) (loanword) topology
拓荒	tuò huāng	tà huāng	cc-cedict	to open up land (for agriculture)
拓跋	tuò bá	tà bá	cc-cedict	branch of the Xianbei 鮮卑|鲜卑 nomadic people, founders of Wei 北魏 of the Northern Dynasties (386-534)/also written 拓拔
拔地	bá dì	bá de	cc-cedict	to rise steeply from level ground
拖地	tuō dì	tuō de	cc-cedict	to mop the floor/(of a gown etc) to trail on the ground/full-length
拖斗	tuō dǒu	tuō dòu	cc-cedict	small open trailer
拖沓	tuō tà	tuō dá	cc-cedict	dilatory; sluggish; muddled; roundabout
拖累	tuō lěi	tuō lèi	cc-cedict	to encumber/to be a burden on/to implicate
拖長	tuō cháng	tuō zhǎng	cc-cedict	to lengthen/to drag out
拗斷	ǎo duàn	ào duàn	cc-cedict	(dialect) to break (by twisting, bending, snapping etc)
拘泥	jū nì	jū ní	cc-cedict	to be a stickler for formalities/to rigidly adhere to/to cling to/constrained/ill at ease
招供	zhāo gòng	zhāo gōng	cc-cedict	to confess
招降	zhāo xiáng	zhāo jiàng	cc-cedict	to ask for sb's surrender
拜佛	bài fó	bài fú	cc-cedict	to worship Buddha
拜倒	bài dǎo	bài dào	cc-cedict	to prostrate oneself/to fall on one's knees/to grovel
拜拜	bái bái	bài bài	cc-cedict	(loanword) bye-bye/also pr. [bai1 bai1] etc/(coll.) to part ways (with sb)/(fig.) to have nothing further to do (with sb
拮据	jié jū	jié jù	cc-cedict	hard pressed for money; in financial straits
拶刑	zǎn xíng	zā xíng	cc-cedict	squeezing the fingers between sticks (old form of torture)
拶子	zǎn zi	zā zǐ	cc-cedict	sticks used for squeezing the fingers (old form of torture)
拶指	zǎn zhǐ	zā zhǐ	cc-cedict	to squeeze the fingers (old form of torture)
拼攢	pīn cuán	pīn zǎn	cc-cedict	to assemble
拾級	shè jí	shí jí	cc-cedict	to go up or down stairs step by step
指徵	zhǐ zhēng	zhǐ zhǐ	cc-cedict	(medicine) indicator/indication
按蹻	àn qiāo	àn juē	cc-cedict	(old) massage
挎斗	kuà dǒu	kuà dòu	cc-cedict	sidecar
挑動	tiǎo dòng	tiāo dòng	cc-cedict	to entice/to arouse/to provoke
挑唆	tiǎo suō	tiāo suō	cc-cedict	to incite/to stir up/to instigate
挑嘴	tiǎo zuǐ	tiāo zuǐ	cc-cedict	to sow discord
挑弄	tiǎo nòng	tiāo nòng	cc-cedict	to incite/to provoke/to tease
挑戰	tiǎo zhàn	tiāo zhàn	cc-cedict	to challenge; to take on a challenge; a challenge
挑撥	tiǎo bō	tiāo bō	cc-cedict	to incite disharmony/to instigate
挑明	tiǎo míng	tiāo míng	cc-cedict	to illuminate/to open up (a topic)
挑燈	tiǎo dēng	tiāo dēng	cc-cedict	to light a lamp/to raise a lantern
挑簷	tiǎo yán	tiāo yán	cc-cedict	eaves
挑花	tiǎo huā	tiāo huā	cc-cedict	cross-stitch (embroidery)
挑起	tiǎo qǐ	tiāo qǐ	cc-cedict	to provoke/to stir up/to incite
挑逗	tiǎo dòu	tiāo dòu	cc-cedict	to provoke/to entice/to lure/to tantalize/to tease/to titillate
挑釁	tiǎo xìn	tiāo xìn	cc-cedict	to provoke; provocation
挑頭	tiǎo tóu	tiāo tóu	cc-cedict	to take the lead/to be first to (do sth)/to pioneer
挖角	wā jué	wā jiǎo	cc-cedict	to poach (talent, personnel from competitors)/to raid (a competitor for its talent)/Taiwan pr. [wa1 jiao3]
挨剋	ái kēi	āi kēi	cc-cedict	to be rebuked/to suffer blows
挨呲	ái cī	āi cī	cc-cedict	(coll.) to get scolded; to be told off
挨宰	ái zǎi	āi zǎi	cc-cedict	to get ripped off
挨延	ái yán	āi yán	cc-cedict	to delay; to procrastinate; to play for time
挨打	ái dǎ	āi dǎ	cc-cedict	to take a beating; to come under attack
挨批	ái pī	āi pī	cc-cedict	to be criticized/to suffer blame
挨揍	ái zòu	āi zòu	cc-cedict	to be beaten/to take a drubbing/buffeted/knocked about
挨擠	ái jǐ	āi jǐ	cc-cedict	to crowd together/to jostle/squeezed
挨整	ái zhěng	āi zhěng	cc-cedict	to be the target of an attack
挨罰	ái fá	āi fá	cc-cedict	to be punished/to be fined
挨罵	ái mà	āi mà	cc-cedict	to receive a scolding
挨著	āi zhe	āi zhù	cc-cedict	near
挨說	ái shuō	āi shuō	cc-cedict	to get scolded
挨餓	ái è	āi è	cc-cedict	to go hungry/to endure starvation/famished
挨鬥	ái dòu	āi dòu	cc-cedict	to suffer censure/denounced
振興	zhèn xīng	zhèn xìng	cc-cedict	see 振興區|振兴区[Zhen4 xing1 Qu1]
振興	zhèn xīng	zhèn xìng	cc-cedict	to revive; to revitalize; to invigorate; to re-energize
捧角	pěng jué	pěng jiǎo	cc-cedict	to applaud and praise a favorite actor
掃地	sǎo dì	sǎo de	cc-cedict	to sweep the floor/(fig.) (of one's reputation etc) to reach rock bottom/to be at an all-time low
掃帚	sào zhou	sǎo zhǒu	cc-cedict	broom
掃把	sào bǎ	sǎo bǎ	cc-cedict	broom
掄元	lún yuán	lūn yuán	cc-cedict	to win the top award/to come first in the examination rankings
